,video-id,t-start,t-end,label
72,10_6,105.66666666666666,127.13333333333333,72
73,10_6,127.13333333333333,134.33333333333331,68
74,10_6,134.33333333333331,150.1,69
75,10_6,150.1,162.36666666666667,73
76,10_6,162.36666666666667,182.8333333333333,75
77,10_6,182.8333333333333,201.86666666666667,76
78,10_6,201.86666666666667,208.13333333333333,77
79,10_6,208.13333333333333,219.13333333333333,78
80,10_6,219.13333333333333,222.4666666666667,79
81,10_6,222.4666666666667,227.30000000000004,80
82,10_6,227.30000000000004,243.56666666666672,81
83,10_6,243.56666666666672,257.66666666666674,82
84,10_6,257.66666666666674,284.5333333333334,83
85,10_6,284.5333333333334,293.0666666666668,56
86,10_6,293.0666666666668,310.4000000000001,84
87,31_16,0.0,7.730263157894733,13
88,31_16,7.730263157894736,12.36842105263158,9
89,31_16,14.687500000000002,27.82894736842105,3
90,31_16,30.14802631578948,36.33223684210528,20
91,31_16,36.33223684210527,40.9703947368421,2
92,31_16,43.28947368421052,47.92763157894737,22
93,31_16,53.338815789473685,69.57236842105266,7
94,31_16,69.57236842105263,75.75657894736842,5
95,31_16,76.52960526315789,86.57894736842104,8
96,31_16,96.6282894736842,110.54276315789474,17
97,31_16,113.39736113906592,116.1040777400906,4
98,31_16,120.67472356464198,130.12256669069933,12
99,31_16,128.32236842105263,131.60049605966788,11
100,31_16,156.15131578947367,164.6546052631579,0
101,31_16,168.51973684210526,174.3709722286729,21
102,31_16,184.8588678646344,196.23158088967224,14
103,31_16,197.2917648370391,395.3474265532776,10
104,31_16,400.1117095038831,403.1827805887648,19
105,31_16,414.7975242997127,421.6866837603933,1
106,31_16,403.01677674633873,404.7598170918122,16
107,31_16,421.57062913105153,425.6377232704895,15
108,31_16,452.4972930353792,454.57234106570473,6
109,31_16,454.4063372232786,465.4455927446104,18
110,31_25,6.41464743628342,8.31715554453957,13
111,31_25,11.768700309244714,15.06430178638788,9
112,31_25,18.1523392959164,20.751394088616063,3
113,31_25,23.89141269399857,39.90159021702847,20
114,31_25,43.29147849831146,45.83855219515713,2
115,31_25,50.70434318289222,53.20983200305469,22
116,31_25,54.69147344279416,69.12142565186265,7
117,31_25,125.62274226987915,128.94953240453472,5
118,31_25,73.42080290268989,75.82232953114436,4
119,31_25,75.9732549170216,83.06347639150627,12
120,31_25,87.44602339569988,90.04507818839954,8
121,31_25,92.05692680584974,95.15500011874772,11
122,31_25,102.6306025341546,112.4862183080717,0
123,31_25,133.34247562789918,140.59903660911664,17
124,31_25,116.6608409288494,120.05000837852975,21
125,31_25,157.70691629416916,176.53446921248548,14
126,31_25,180.10598003762573,328.0984739565096,10
127,31_25,328.496707916815,332.41201556141726,19
128,31_25,333.8548204578574,336.54744122309427,16
129,31_25,337.1246115949742,341.24151438661045,6
130,31_25,344.33937703887324,350.6895859724035,1
131,31_25,351.2317580149077,354.5945663446679,15
132,31_25,357.2780036746202,366.1147899697991,18
133,32_25,3.208,5.375,2
134,32_25,7.57,9.728,27
135,32_25,12.064,15.197,30
136,32_25,20.833,26.63,38
137,32_25,30.789,34.951,41
138,32_25,39.198,40.619,48
139,32_25,47.052,48.06,45
140,32_25,50.355,52.392,9
141,32_25,73.766,101.62,24
142,32_25,56.373,59.984,36
143,32_25,61.458,67.331,33
144,32_25,129.278,131.056,22
145,32_25,140.634,155.527,47
146,32_25,160.535,161.34199999999998,29
147,32_25,167.403,207.821,35
148,32_25,231.091,248.677,44
149,32_25,266.247,271.452,28
150,32_25,282.724,284.706,25
151,32_25,285.482,290.805,31
152,32_25,313.228,343.493,40
153,32_25,364.872,410.5,49
154,32_25,413.292,415.161,39
155,32_25,415.616,424.669,46
156,32_25,425.148,426.939,42
157,32_25,448.66,508.608,23
158,32_25,525.0,526.342,37
159,32_25,531.023,540.077,43
160,32_25,542.897,590.66,34
161,32_25,594.98,634.133,32
162,32_25,654.731,667.469,26
163,32_23,0.0,3.071009650140195,2
164,32_23,5.1801079328239,8.38721152900871,27
165,32_23,9.613006283426692,12.817341711235589,30
166,32_23,17.993575863849962,21.69088597286024,38
167,32_23,24.155759378867074,33.02930364049171,9
168,32_23,39.93094917731088,48.80449343893552,45
169,32_23,49.54395546073757,54.47370227275125,48
170,32_23,67.04455664338616,75.17863888320875,41
171,32_23,75.67161356441012,79.36892367342037,36
172,32_23,85.03104566829487,89.22133045850651,22
173,32_23,92.4256658863154,100.06677344493664,33
174,32_23,112.39114047497084,121.51117207719616,44
175,32_23,135.80743783203584,149.6107289056742,47
176,32_23,167.35781742892345,176.72433637174947,24
177,32_23,202.35901979422064,209.7536400122412,28
178,32_23,213.94392480245284,217.8877222520638,29
179,32_23,227.99370321669187,231.1980386445008,25
180,32_23,236.62076013771585,252.64243727676032,35
181,32_23,253.62838663916307,256.0932600451699,31
182,32_23,258.31164611057613,290.3550003886651,40
183,32_23,298.9820573096891,319.440506579546,49
184,32_23,324.1237660509589,327.82107615996915,39
185,32_23,327.0816141381672,336.6946204215939,46
186,32_23,342.11734191480895,344.82870266141646,42
187,32_23,369.75876929667896,430.6271051565208,23
188,32_23,438.9732793113485,443.37300371946304,37
189,32_23,443.3053156516459,453.1877735529494,43
190,32_23,457.7228740966982,466.3192587094759,34
191,32_23,471.1251115244934,479.2476796625511,32
192,32_23,480.7889295741324,492.2526126773466,26
193,33_18,4.1249365761035,7.764586496194823,36
194,33_18,10.433663104261797,15.28652966438356,60
195,33_18,19.16882291248097,23.53640281659056,63
196,33_18,30.087772672754944,40.27879244901065,45
197,33_18,174.70319616438354,180.2839927085236,58
198,33_18,42.94786905707762,64.78576857762557,62
199,33_18,65.51369856164384,81.28551488203958,47
200,33_18,181.7398526765601,184.6515726126332,57
201,33_18,91.96182131430744,139.03462694748856,51
202,33_18,148.9830033957382,153.35058329984778,52
203,33_18,156.01965990791476,165.7253930281583,56
204,33_18,184.6515726126332,207.46004544520548,54
205,33_18,210.12912205327245,245.7976912701674,61
206,33_18,263.02536755859967,275.4001772869102,59
207,33_18,276.8560372549467,287.53234368721456,55
208,33_18,290.9293502792998,305.0026633036529,50
209,33_18,305.245306631659,312.2819631438356,53
210,33_20,0.7643333097874857,4.813111571211905,36
211,33_20,5.349147003006124,8.72502972239099,60
212,33_20,23.13896721168617,28.08874119889236,63
213,33_20,49.00177883310651,59.86061507775285,45
214,33_20,62.6084972819837,67.34157609463479,58
215,33_20,69.6600526643849,82.10798689605265,62
216,33_20,90.05347683115973,121.835436571588,47
217,33_20,123.08614440011002,126.01723176119756,52
218,33_20,131.63487415822007,158.38469027308057,51
219,33_20,174.54051980779826,198.64183927762303,57
220,33_20,199.17153860663012,233.8668446565977,54
221,33_20,241.28263526269768,294.25256816341147,61
222,33_20,312.79204467866134,320.7375346137684,56
223,33_20,320.84195710812963,334.7801457124441,59
224,33_20,346.1631024061111,356.2273896572467,55
225,33_20,358.6110366377788,381.1232581205822,50
226,33_20,386.6851010751572,400.4572836293427,53
